Invoice ID,City,Product line,Unit price,Quantity,Date,Payment,Rating,year,month,day_of_week,profit,revenue,profit_margin
750-67-8428,Yangon,Health and beauty,74.69,7,2019-01-05,Ewallet,9.1,2019,1,Saturday,522.8299999999999,521.8299999999999,1.0019163329053524
226-31-3081,Naypyitaw,Electronic accessories,15.28,5,2019-03-08,Cash,9.6,2019,3,Friday,76.39999999999999,75.39999999999999,1.013262599469496
631-41-3108,Yangon,Home and lifestyle,46.33,7,2019-03-03,Credit card,7.4,2019,3,Sunday,324.31,323.31,1.0030930067118247
123-19-1176,Yangon,Health and beauty,58.22,8,2019-01-27,Ewallet,8.4,2019,1,Sunday,465.76,464.76,1.0021516481624924
373-73-7910,Yangon,Sports and travel,86.31,7,2019-02-08,Ewallet,5.3,2019,2,Friday,604.1700000000001,603.1700000000001,1.0016579073892933
699-14-3026,Naypyitaw,Electronic accessories,85.39,7,2019-03-25,Ewallet,4.1,2019,3,Monday,597.73,596.73,1.0016757997754429
355-53-5943,Yangon,Electronic accessories,68.84,6,2019-02-25,Ewallet,5.8,2019,2,Monday,413.04,412.04,1.0024269488399185
315-22-5665,Naypyitaw,Home and lifestyle,73.56,10,2019-02-24,Ewallet,8.0,2019,2,Sunday,735.6,734.6,1.0013612850530902
665-32-9167,Yangon,Health and beauty,36.26,2,2019-01-10,Credit card,7.2,2019,1,Thursday,72.52,71.52,1.0139821029082774
365-64-0515,Yangon,Electronic accessories,46.95,5,2019-02-12,Ewallet,7.1,2019,2,Tuesday,234.75,233.75,1.0042780748663103
252-56-2699,Yangon,Food and beverages,43.19,10,2019-02-07,Ewallet,8.2,2019,2,Thursday,431.9,430.9,1.0023207240659087
829-34-3910,Yangon,Health and beauty,71.38,10,2019-03-29,Cash,5.7,2019,3,Friday,713.8,712.8,1.0014029180695847
299-46-1805,Mandalay,Sports and travel,93.72,6,2019-01-15,Cash,4.5,2019,1,Tuesday,562.3199999999999,561.3199999999999,1.0017815150003564
656-95-9349,Yangon,Health and beauty,68.93,7,2019-03-11,Credit card,4.6,2019,3,Monday,482.51000000000005,481.51000000000005,1.0020768000664575
765-26-6951,Yangon,Sports and travel,72.61,6,2019-01-01,Credit card,6.9,2019,1,Tuesday,435.65999999999997,434.65999999999997,1.0023006487829569
329-62-1586,Yangon,Food and beverages,54.67,3,2019-01-21,Credit card,8.6,2019,1,Monday,164.01,163.01,1.0061345929697565
319-50-3348,Mandalay,Home and lifestyle,40.3,2,2019-03-11,Ewallet,4.4,2019,3,Monday,80.6,79.6,1.0125628140703518
300-71-4605,Naypyitaw,Electronic accessories,86.04,5,2019-02-25,Ewallet,4.8,2019,2,Monday,430.20000000000005,429.20000000000005,1.0023299161230195
636-48-8204,Yangon,Electronic accessories,34.56,5,2019-02-17,Ewallet,9.9,2019,2,Sunday,172.8,171.8,1.0058207217694994
549-59-1358,Yangon,Sports and travel,88.63,3,2019-03-02,Ewallet,6.0,2019,3,Saturday,265.89,264.89,1.0037751519498659
227-03-5010,Yangon,Home and lifestyle,52.59,8,2019-03-22,Credit card,8.5,2019,3,Friday,420.72,419.72,1.0023825407414466
649-29-6775,Mandalay,Fashion accessories,33.52,1,2019-02-08,Cash,6.7,2019,2,Friday,33.52,32.52,1.030750307503075
189-17-4241,Yangon,Fashion accessories,87.67,2,2019-03-10,Credit card,7.7,2019,3,Sunday,175.34,174.34,1.0057359183205232
145-94-9061,Mandalay,Food and beverages,88.36,5,2019-01-25,Cash,9.6,2019,1,Friday,441.8,440.8,1.002268602540835
848-62-7243,Yangon,Health and beauty,24.89,9,2019-03-15,Cash,7.4,2019,3,Friday,224.01,223.01,1.0044841038518453
595-11-5460,Yangon,Health and beauty,96.58,2,2019-03-15,Credit card,5.1,2019,3,Friday,193.16,192.16,1.0052039966694422
183-56-6882,Naypyitaw,Food and beverages,99.42,4,2019-02-06,Ewallet,7.5,2019,2,Wednesday,397.68,396.68,1.0025209236664314
232-16-2483,Naypyitaw,Sports and travel,68.12,1,2019-01-07,Ewallet,6.8,2019,1,Monday,68.12,67.12,1.0148986889153755
129-29-8530,Yangon,Sports and travel,62.62,5,2019-03-10,Ewallet,7.0,2019,3,Sunday,313.09999999999997,312.09999999999997,1.0032041012495996
272-65-1806,Yangon,Electronic accessories,60.88,9,2019-01-15,Ewallet,4.7,2019,1,Tuesday,547.9200000000001,546.9200000000001,1.0018284209756454
333-73-7901,Naypyitaw,Health and beauty,54.92,8,2019-03-23,Ewallet,7.6,2019,3,Saturday,439.36,438.36,1.0022812300392372
777-82-7220,Mandalay,Home and lifestyle,30.12,8,2019-03-03,Cash,7.7,2019,3,Sunday,240.96,239.96,1.0041673612268711
280-35-5823,Mandalay,Home and lifestyle,86.72,1,2019-01-17,Ewallet,7.9,2019,1,Thursday,86.72,85.72,1.0116658889407373
554-53-8700,Naypyitaw,Home and lifestyle,56.11,2,2019-02-02,Cash,6.3,2019,2,Saturday,112.22,111.22,1.0089911886351375
354-25-5821,Mandalay,Sports and travel,69.12,6,2019-02-08,Cash,5.6,2019,2,Friday,414.72,413.72,1.0024170936865513
228-96-1411,Naypyitaw,Food and beverages,98.7,8,2019-03-04,Cash,7.6,2019,3,Monday,789.6,788.6,1.0012680699974639
617-15-4209,Naypyitaw,Health and beauty,15.37,2,2019-03-16,Cash,7.2,2019,3,Saturday,30.74,29.74,1.0336247478143914
132-32-9879,Mandalay,Electronic accessories,93.96,4,2019-03-09,Cash,9.5,2019,3,Saturday,375.84,374.84,1.0026678049301034
574-22-5561,Naypyitaw,Fashion accessories,82.63,10,2019-03-19,Ewallet,7.9,2019,3,Tuesday,826.3,825.3,1.0012116806009936
326-78-5178,Naypyitaw,Food and beverages,91.4,7,2019-02-03,Cash,9.5,2019,2,Sunday,639.8000000000001,638.8000000000001,1.001565435190983
162-48-8011,Yangon,Food and beverages,44.59,5,2019-02-10,Cash,8.5,2019,2,Sunday,222.95000000000002,221.95000000000002,1.0045055192610948
616-24-2851,Mandalay,Fashion accessories,17.87,4,2019-03-22,Ewallet,6.5,2019,3,Friday,71.48,70.48,1.014188422247446
778-71-5554,Naypyitaw,Fashion accessories,15.43,1,2019-01-25,Credit card,6.1,2019,1,Friday,15.43,14.43,1.0693000693000694
242-55-6721,Mandalay,Home and lifestyle,16.16,2,2019-03-07,Ewallet,6.5,2019,3,Thursday,32.32,31.32,1.0319284802043422
399-46-5918,Naypyitaw,Electronic accessories,85.98,8,2019-02-28,Cash,8.2,2019,2,Thursday,687.84,686.84,1.001455943159979
106-35-6779,Yangon,Home and lifestyle,44.34,2,2019-03-27,Cash,5.8,2019,3,Wednesday,88.68,87.68,1.011405109489051
635-40-6220,Yangon,Health and beauty,89.6,8,2019-02-07,Ewallet,6.6,2019,2,Thursday,716.8,715.8,1.0013970382788489
817-48-8732,Yangon,Home and lifestyle,72.35,10,2019-01-20,Cash,5.4,2019,1,Sunday,723.5,722.5,1.0013840830449827
120-06-4233,Naypyitaw,Electronic accessories,30.61,6,2019-03-12,Cash,9.3,2019,3,Tuesday,183.66,182.66,1.0054746523595752
285-68-5083,Naypyitaw,Sports and travel,24.74,3,2019-02-15,Credit card,10.0,2019,2,Friday,74.22,73.22,1.013657470636438
803-83-5989,Naypyitaw,Home and lifestyle,55.73,6,2019-02-24,Ewallet,7.0,2019,2,Sunday,334.38,333.38,1.0029995800587919
347-34-2234,Mandalay,Sports and travel,55.07,9,2019-02-03,Ewallet,10.0,2019,2,Sunday,495.63,494.63,1.0020217131997655
199-75-8169,Yangon,Sports and travel,15.81,10,2019-03-06,Credit card,8.6,2019,3,Wednesday,158.1,157.1,1.0063653723742838
853-23-2453,Mandalay,Health and beauty,75.74,4,2019-02-14,Cash,7.6,2019,2,Thursday,302.96,301.96,1.0033116969134985
877-22-3308,Yangon,Health and beauty,15.87,10,2019-03-13,Cash,5.8,2019,3,Wednesday,158.7,157.7,1.0063411540900444
838-78-4295,Naypyitaw,Health and beauty,33.47,2,2019-02-10,Ewallet,6.7,2019,2,Sunday,66.94,65.94,1.0151653017895057
109-28-2512,Mandalay,Fashion accessories,97.61,6,2019-01-07,Ewallet,9.9,2019,1,Monday,585.66,584.66,1.0017103957855849
232-11-3025,Yangon,Sports and travel,78.77,10,2019-01-24,Cash,6.4,2019,1,Thursday,787.6999999999999,786.6999999999999,1.001271132579128
382-03-4532,Yangon,Health and beauty,18.33,1,2019-02-02,Cash,4.3,2019,2,Saturday,18.33,17.33,1.0577034045008655
393-65-2792,Naypyitaw,Food and beverages,89.48,10,2019-01-06,Credit card,9.6,2019,1,Sunday,894.8000000000001,893.8000000000001,1.0011188185276347
796-12-2025,Naypyitaw,Fashion accessories,62.12,10,2019-02-11,Cash,5.9,2019,2,Monday,621.1999999999999,620.1999999999999,1.001612383102225
510-95-6347,Mandalay,Food and beverages,48.52,3,2019-03-05,Ewallet,4.0,2019,3,Tuesday,145.56,144.56,1.006917542888766
841-35-6630,Naypyitaw,Electronic accessories,75.91,6,2019-03-09,Cash,8.7,2019,3,Saturday,455.46,454.46,1.0022004136777714
287-21-9091,Yangon,Home and lifestyle,74.67,9,2019-01-22,Ewallet,9.4,2019,1,Tuesday,672.03,671.03,1.0014902463377195
732-94-0499,Naypyitaw,Electronic accessories,41.65,10,2019-01-13,Credit card,5.4,2019,1,Sunday,416.5,415.5,1.0024067388688327
263-10-3913,Naypyitaw,Fashion accessories,49.04,9,2019-01-09,Credit card,8.6,2019,1,Wednesday,441.36,440.36,1.0022708692887636
